"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666480446.927374","737430167.597765","763687150.837989","837988826.815642","894972067.039106","925245810.055866","939815642.458101","1031575418.99441","1103932960.89385","1167139664.80447","1248526256.98324","1358681564.24581","1517919553.07263","1555139664.80447","1461899441.34078","1479029050.27933","1646307262.56983","1588415083.79888","1597425139.6648","1608830726.25698","1631228491.62011","1637759776.53631","1727741899.44134","1852174860.3352","1974305620.37851","1543657104.63475","1780009211.50227","1956135912.41873","1965468849.88961","2047496725.99231","",
"Africa Eastern and Southern","AFE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","98354714653.7351","106232234763.144","98513345311.0775","77765680070.3566","89489403241.7166","115459828856.89","126758079146.24","137258707747.329","170631255478.037","185727484628.98","157855498309.607","155012758363.873","166602889032.661","189654123226.449","185184450084.894","198639789495.472","189913471156.254","186157592569.003","199883871655.972","176682284778.401","172743554997.851","228121590056.225","283094064745.257","324378068501.382","356721290352.057","401646120979.21","421031954946.144","446912376010.09","528660820066.316","582515014549.394","609121184694.159","611141626792.876","638455849491.128","604237017411.451","550818036647.981","644392180947.998","673443617713.855","672095661214.428","621584818832.466","723186580906.037","810364221356.674","803153027392.427","858667217804.617","",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18419990527.0292","12617004786.8703","14150977069.9198","16821368715.0838","","",
"Africa Western and Central","AFW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7166944741.1407","8672177077.27902","10938153580.5722","13491575514.274","17737724811.3981","22761240492.1867","29015394002.9843","30779262497.9937","33816330850.8518","42460010594.9819","49814336170.452","54585445523.5611","72797832178.8727","57482738441.3238","31610057368.5901","44764474893.9382","46444045569.6416","40957180575.6862","35371777205.2393","44561001779.5669","78312809842.097","69295536212.5492","67449750582.9818","",
"Albania","ALB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","916936810.526316","1027971993.00699","1118286771.56177","1125850769.23077","1169370641.02564","1182331048.95105","1309162500","1337825025","1370649987.5","1453374975","1271486850","1036054826.38889","1079374622.9967","1468051508.63442","1903197236.77457","2590114987.9986","2932856616.11211","2163669851.39741","2365737198.99444","2677386852.28096","2823803279.67891","3011758952.38758","3424070403.07452","4451236601.09938","5511574674.73649","6172929197.71687","6889507367.3152","8848582072.47423","10881597723.496","9877783483.18539","9201562654.49613","9974146860.95114","9465181951.2554","9877672544.72631","10411697979.7118","8904037018.65902","9321853593.24969","9980185465.6225","11453757777.3889","11773977449.948","11363042882.6507","12927979167.3107","13570171567.799","16433006826.9661","18800917501.4099","",
"Andorra","AND","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","27195430268.5061","30027701702.4183","34491652832.0285","39580141149.355","50059234434.9627","67500284310.3534","79479088829.2106","105067890510.67","123556342086.106","151126135624.43","182303728789.399","200887185636.077","225630102124.252","234254471727.94","248305510155.687","252690463536.104","257287241635.748","267417205952.371","271925611138.986","309471931962.172","383641571302.426","293926315084.212","274260556088.283","300171548489.008","308164590213.699","319785197437.044","332837638317.017","352048404031.652","361454315086.879","368188333621.878","372333878852.819","374841505471.099","380077568663.964","404560588834.05","456415126613.361","512527304754.991","596985365214.084","722376118952.685","875897694831.626","891456460865.771","938486077771.036","1025287539347.66","1129666148517.48","1193455111256.39","1308754890254.37","1340481203327.46","1366044772223.81","1345722561874.29","1400066143822.18","1467664248097.37","1445360060783.47","1570404303327.91","1756684808310.13","1796462518037.95","1922918207092.73","",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61087656609.9387","67397163131.3819","72834474935.3302","89820739523.4854","101764918093.941","124444700830.497","155001863144.997","184183067283.867","132573846752.893","122407896528.251","134648876786.93","120397549353.302","131033083730.429","148412525527.57","153562695711.368","154727842069.435","159662627637.849","161715997277.059","163818924438.393","161847243022.464","169662083049.694","211979305650.102","234510006807.352","","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10971947544.9722","12544604902.1899","12296149665.2146","13112305455.0693","17583550655.2055","19106470077.1627","19179524090.076","16142121567.5792","17818286029.1255","20788000652.075","20514474652.8526","22087199393.1043","23061625752.1497","34502333869.7978","46339887781.9045","30479729907.7781","28960251673.5518","32792999467.2985","51774050190.4136","43597131261.72","","","","","","","","82079530289.24","93541303183.5763","56331844057.5084","109038551074.778","152618772836.917","187270475206.987","163839382682.683","180006952200","176908603000","186487153500","203028516700","206433800000","198869454200","197044177500","185164262200","60489618364.2844","80632168516.4444","105926917928.179","125262782955.786","147139416222.713","179796371906.655","228051225933.264","209702422221.036","272113324478.662","340469249246.984","354361120355.997","364267951166.433","344124011884.784","391974496653.948","366420786669.083","429554843450.409","364593335904.847","296089364842.806","253449670108.806","306307486891.723","417983515859.788","426275460474.42","425693408431.585","",
